Province,Monuments_Count,Cities_Count,Country
,1,,
Achaea,38,6,Albania
Achaea,1056,103,Greece
Aegyptus,144,47,Egypt
Africa Proconsularis,74,5,Libya
Africa Proconsularis,341,61,Tunisia
Alpes Cottiae,12,2,Italy
Alpes Graiae et Poeninae,10,1,Italy
Alpes Graiae et Poeninae,12,1,Switzerland
Alpes Maritimae,13,1,France
Alpes Maritimae,2,1,Italy
Arabia,7,2,Israel
Arabia,74,6,Jordan
Arabia,49,6,Syria
Asia,71,7,Greece
Asia,652,72,Turkey
Baetica,129,52,Spain
Bithynia et Pontus,62,9,Turkey
Britannia,3,1,France
Britannia,241,26,United Kingdom
Cappadocia et Galatia,66,18,Turkey
Cilicia et Cyprus,57,7,Cyprus
Cilicia et Cyprus,42,5,Northern Cyprus
Cilicia et Cyprus,144,23,Turkey
Cilicia et Cyprus,8,1,United Kingdom
Corsica et Sardinia,13,2,France
Corsica et Sardinia,58,7,Italy
Creta et Cyrenaica,102,11,Greece
Creta et Cyrenaica,77,7,Libya
Dacia,70,11,Romania
Dalmatia,4,2,Albania
Dalmatia,17,14,Bosnia and Herzegovina
Dalmatia,77,34,Croatia
Dalmatia,10,6,Montenegro
Dalmatia,1,1,Serbia
Gallia Aquitania,151,21,France
Gallia Belgica,89,14,France
Gallia Belgica,19,2,Germany
Gallia Belgica,7,1,United Kingdom
Gallia Lugdunensis,213,31,France
Gallia Narbonensis,307,30,France
Gallia Narbonensis,8,1,Switzerland
Germania Inferior,8,1,Belgium
Germania Inferior,19,2,Germany
Germania Inferior,2,2,Netherlands
Germania Superior,51,6,France
Germania Superior,38,6,Germany
Germania Superior,58,5,Switzerland
Hispania Tarraconensis,16,2,Portugal
Hispania Tarraconensis,251,56,Spain
Italia (I Latium and Campania),585,77,Italy
Italia (II Apulia et Calabria),129,32,Italy
Italia (III Lucania et Brutii),150,24,Italy
Italia (IV Samnium),168,33,Italy
Italia (IX Liguria),69,15,Italy
Italia (V Picenum),90,17,Italy
Italia (VI Umbria and Ager Gallicus),198,38,Italy
Italia (VII Etruria),483,48,Italy
Italia (VIII Aemilia),97,18,Italy
Italia (X Venetia et Histria),25,5,Croatia
Italia (X Venetia et Histria),129,20,Italy
Italia (X Venetia et Histria),6,1,Slovenia
Italia (XI Transpadana),49,9,Italy
Lusitania,79,13,Portugal
Lusitania,45,7,Spain
Lycia et Pamphylia,423,50,Turkey
Macedonia,34,4,Albania
Macedonia,110,11,Greece
Macedonia,18,3,Macedonia
Mauretania Caesariensis,161,33,Algeria
Mauretania Tingitana,84,7,Morocco
Mauretania Tingitana,,1,Spain
Moesia Inferior,35,6,Bulgaria
Moesia Inferior,38,6,Romania
Moesia Superior,5,2,Bulgaria
Moesia Superior,9,2,Kosovo
Moesia Superior,12,1,Macedonia
Moesia Superior,22,7,Serbia
Noricum,40,8,Austria
Noricum,12,1,Slovenia
Numidia,199,16,Algeria
Numidia,96,13,Tunisia
Pannonia Inferior,11,2,Croatia
Pannonia Inferior,31,3,Hungary
Pannonia Inferior,9,2,Serbia
Pannonia Superior,16,3,Austria
Pannonia Superior,10,3,Croatia
Pannonia Superior,23,5,Hungary
Pannonia Superior,7,2,Slovenia
Raetia,7,1,Austria
Raetia,18,3,Germany
Raetia,1,1,Switzerland
Silicia,255,30,Italy
Silicia,3,1,Malta
Syria,15,2,Israel
Syria,12,1,Jordan
Syria,45,7,Lebanon
Syria,90,11,Syria
Syria,54,5,Turkey
Syria Palestina,144,19,Israel
Syria Palestina,4,1,Jordan
Thracia,57,10,Bulgaria
Thracia,20,3,Greece
Thracia,66,7,Turkey
